county_name,article,tax_allocation_point_of_sale,gs_105_524_adjustments,tax_allocation_other_1,article_42_adjustment_2,cost_of_collection_3,per_capita_adjustments,gs_105_486_b_adjustment_4,distributable_proceeds,month,year,date,fiscal_year
Carteret,40,648605.45,-19441.91,0,0,-2101.41,-230063.69,57043.29,454041.73,july,2016,2016-07-01,2017
Carteret,40-Food,0,0,44524.94,0,-148.71,0,6376.26,50752.49,july,2016,2016-07-01,2017
Carteret,42,648605.45,-19441.91,0,-6732.76,-2078.92,0,0,620351.86,july,2016,2016-07-01,2017
Carteret,42-Food,0,0,44524.94,0,-148.71,0,6376.26,50752.49,july,2016,2016-07-01,2017
Carteret,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Carteret,44,679.41,0,0,0,-2.27,0,0,677.14,july,2016,2016-07-01,2017
Carteret,44 *524(c.),0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Carteret,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Carteret,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Carteret,Total,2595101.22,-77767.63,226176.58,-6732.76,-9140.83,-230063.69,69795.81,2567368.7,july,2016,2016-07-01,2017
Caswell,39,60941.24,-1826.71,0,0,-197.44,0,0,58917.09,july,2016,2016-07-01,2017
Caswell,39-Food,0,0,14102.75,0,-47.1,0,0,14055.65,july,2016,2016-07-01,2017
Caswell,40,30470.64,-913.36,0,0,-98.72,105652.57,-6340.49,128770.64,july,2016,2016-07-01,2017
Caswell,40-Food,0,0,15153.25,0,-50.61,0,-708.73,14393.91,july,2016,2016-07-01,2017
Caswell,42,30470.64,-913.36,0,-316.3,-97.66,0,0,29143.32,july,2016,2016-07-01,2017
Caswell,42-Food,0,0,15153.25,0,-50.61,0,-708.73,14393.91,july,2016,2016-07-01,2017
Caswell,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Caswell,44,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Caswell,44 *524(c.),0,95380.92,0,0,-318.57,0,0,95062.35,july,2016,2016-07-01,2017
Caswell,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Caswell,46,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Caswell,Total,121882.52,91727.49,44409.25,-316.3,-860.71,105652.57,-7757.95,354736.87,july,2016,2016-07-01,2017
Catawba,39,2008041.08,-60190.9,0,0,-6505.82,0,0,1941344.36,july,2016,2016-07-01,2017
Catawba,39-Food,0,0,240504.71,0,-803.29,0,0,239701.42,july,2016,2016-07-01,2017
Catawba,40,1004020.33,-30095.45,0,0,-3252.91,-78613.33,-6064.76,885993.88,july,2016,2016-07-01,2017
Catawba,40-Food,0,0,100047.9,0,-334.16,0,-677.92,99035.82,july,2016,2016-07-01,2017
Catawba,42,1004020.33,-30095.45,0,-10422.09,-3218.1,0,0,960284.69,july,2016,2016-07-01,2017
Catawba,42-Food,0,0,100047.9,0,-334.16,0,-677.92,99035.82,july,2016,2016-07-01,2017
Catawba,43,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Catawba,44,404.71,0,0,0,-1.35,0,0,403.36,july,2016,2016-07-01,2017
Catawba,44 *524(c.),0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Catawba,45,0,0,0,0,0,0,0,0,july,2016,2016-07-01,2017
Catawba,46,499658.73,0,0,0,-1668.86,0,0,497989.87,july,2016,2016-07-01,2017
Catawba,Total,4516145.18,-120381.8,440600.51,-10422.09,-16118.65,-78613.33,-7420.6,4723789.22,july,2016,2016-07-01,2017
Chatham,39,517009.82,-15497.34,0,0,-1675.05,0,0,499837.43,july,2016,2016-07-01,2017
Chatham,39-Food,0,0,48581.26,0,-162.26,0,0,48419,july,2016,2016-07-01,2017
Chatham,40,258504.91,-7748.67,0,0,-837.53,143501.88,9166.07,402586.66,july,2016,2016-07-01,2017
