county,gross_collections,foreign_collections,refunds,net_collections,month,year,date,fiscal_year
Pamlico,207190.04739248,0,3476.43739248,203713.61,april,2016,2016-04-01,2016
Pasquotank,1043377.09390432,0,215908.48390432,827468.61,april,2016,2016-04-01,2016
Pender,865782.7409292998,0,28043.2309293,837739.51,april,2016,2016-04-01,2016
Perquimans,168107.00369842,0,745.31369842,167361.69,april,2016,2016-04-01,2016
Person,708993.4822742001,0,9436.8222742,699556.66,april,2016,2016-04-01,2016
Pitt,4820118.64197764,0,48073.59197764,4772045.05,april,2016,2016-04-01,2016
Polk,292742.30325518,0,42133.97325518,250608.33,april,2016,2016-04-01,2016
Randolph,2554369.8170204004,0,208957.8470204,2345411.97,april,2016,2016-04-01,2016
Richmond,870873.1017854998,0,8827.5017855,862045.6,april,2016,2016-04-01,2016
Robeson,2485332.85635904,0,525025.95635904,1960306.9,april,2016,2016-04-01,2016
Rockingham,1556995.63651924,0,83139.06651923999,1473856.57,april,2016,2016-04-01,2016
Rowan,2797856.45136788,0,60265.15136788,2737591.3,april,2016,2016-04-01,2016
Rutherford,1252572.49133222,0,21059.83133222,1231512.66,april,2016,2016-04-01,2016
Sampson,1170818.79514678,0,47609.08514678,1123209.71,april,2016,2016-04-01,2016
Scotland,667053.0511335599,0,5636.85113356,661416.2,april,2016,2016-04-01,2016
Stanly,1288419.36754794,0,18207.93754794,1270211.43,april,2016,2016-04-01,2016
Stokes,537933.16025712,0,2396.29025712,535536.87,april,2016,2016-04-01,2016
Surry,2098974.02854286,0,134295.09854286,1964678.93,april,2016,2016-04-01,2016
Swain,206234.14774044,0,14307.79774044,191926.35,april,2016,2016-04-01,2016
Transylvania,669994.9479924999,0,8800.4879925,661194.46,april,2016,2016-04-01,2016
Tyrrell,35782.4431223,0,379.7231223,35402.72,april,2016,2016-04-01,2016
Union,4349749.76947692,0,53782.10947692,4295967.66,april,2016,2016-04-01,2016
Vance,1019129.54900182,0,20239.06900182,998890.48,april,2016,2016-04-01,2016
Wake,31568342.86629252,0,984604.96629252,30583737.9,april,2016,2016-04-01,2016
Warren,204869.36827538,0,10670.72827538,194198.64,april,2016,2016-04-01,2016
Washington,197205.99217518,0,1606.91217518,195599.08,april,2016,2016-04-01,2016
Watauga,1450101.76717764,0,44162.82717764,1405938.94,april,2016,2016-04-01,2016
Wayne,2684263.74419196,0,462939.65419196,2221324.09,april,2016,2016-04-01,2016
Wilkes,1361907.01375494,0,141376.15375494,1220530.86,april,2016,2016-04-01,2016
Wilson,2112322.72704352,0,33889.80704352,2078432.92,april,2016,2016-04-01,2016
Yadkin,509219.82378872,0,57125.43378872,452094.39,april,2016,2016-04-01,2016
Yancey,231012.85715786,0,2617.28715786,228395.57,april,2016,2016-04-01,2016
Alamance,5160323.909999999,27933.4,87646.53,5100610.779999999,april,2017,2017-04-01,2017
Alexander,520484.84,2428.3500000000004,3863.05,519050.14,april,2017,2017-04-01,2017
Alleghany,180323.9,880.49,647.03,180557.36,april,2017,2017-04-01,2017
Anson,402477.32,1946.53,1447.07,402976.78,april,2017,2017-04-01,2017
Ashe,571666.95,2851.41,3119.46,571398.9,april,2017,2017-04-01,2017
Avery,440212.47,2207,4587.88,437831.59,april,2017,2017-04-01,2017
Beaufort,1071739.01,5494.81,6248.83,1070984.99,april,2017,2017-04-01,2017
Bertie,210999.95,451.76,93892.15,117559.56,april,2017,2017-04-01,2017
Bladen,554748.2000000001,2708.23,12534.37,544922.06,april,2017,2017-04-01,2017
Brunswick,3411826.3400000003,18709.35,14162.49,3416373.2,april,2017,2017-04-01,2017
Buncombe,11292085.53,58944.94,347097.25,11003933.22,april,2017,2017-04-01,2017
Burke,1710621.62,8524.49,15168.86,1703977.25,april,2017,2017-04-01,2017
Cabarrus,7690873.95,39180.15,484065.7,7245988.4,april,2017,2017-04-01,2017
Caldwell,1417148.8,6636.47,70873.5,1352911.77,april,2017,2017-04-01,2017
Camden,122402.41,624.79,398.67,122628.53,april,2017,2017-04-01,2017
Carteret,2243775.81,8794.49,538561.48,1714008.82,april,2017,2017-04-01,2017
Caswell,171599.22999999998,601.8,21918.83,150282.19999999998,april,2017,2017-04-01,2017
Catawba,5523867.640000001,28935.57,76300.39999999998,5476502.8100000005,april,2017,2017-04-01,2017
Chatham,1435877.31,7174.51,97517.74,1345534.08,april,2017,2017-04-01,2017
Cherokee,716425.7,3279.73,62020.58,657684.85,april,2017,2017-04-01,2017
Chowan,280247.74,1227.51,32283.04,249192.21,april,2017,2017-04-01,2017
Clay,158915.13999999998,783.4,1958.58,157739.96,april,2017,2017-04-01,2017
Cleveland,2148817.88,10410.79,130161.19,2029067.48,april,2017,2017-04-01,2017
Columbus,1035116.37,5291.29,4384.88,1036022.78,april,2017,2017-04-01,2017
Craven,2459761.51,7457.47,944838.41,1522380.57,april,2017,2017-04-01,2017
Cumberland,9957729.62,46865.58,994035.19,9010560.01,april,2017,2017-04-01,2017
Currituck,534619.72,2825.74,948.08,536497.38,april,2017,2017-04-01,2017
Dare,1926473.8,10590.15,5005.92,1932058.03,april,2017,2017-04-01,2017
Davidson,3213644.24,14630.71,236993.45,2991281.5,april,2017,2017-04-01,2017
Davie,780115.7,4077.19,6041.19,778151.7,april,2017,2017-04-01,2017
Duplin,1017152.76,4936.33,12033.64,1010055.45,april,2017,2017-04-01,2017
Durham,16768024.64,58971.96,5698106.760000001,11128889.84,april,2017,2017-04-01,2017
Edgecombe,940117.13,4139.55,58136.65,886120.03,april,2017,2017-04-01,2017
Forsyth,12282800.88,66872.1,124015.37,12225657.61,april,2017,2017-04-01,2017
Franklin,1023664.18,5350.93,3682.88,1025332.23,april,2017,2017-04-01,2017
Gaston,5391747.74,23937.68,781727.4099999998,4633958.01,april,2017,2017-04-01,2017
Gates,105931.58,443.6,278.52,106096.66,april,2017,2017-04-01,2017
Graham,148703.51,591.8299999999999,24867.05,124428.29,april,2017,2017-04-01,2017
Granville,890552.08,4000.3,80905.14,813647.24,april,2017,2017-04-01,2017
Greene,178471.3,757.16,2919.85,176308.61,april,2017,2017-04-01,2017
Guilford,16606481.37,88964.61,399846.93,16295599.05,april,2017,2017-04-01,2017
Halifax,1306032.99,4792.37,322567.69,988257.67,april,2017,2017-04-01,2017
Harnett,2121330.3200000003,11230.32,-93304.13,2225864.77,april,2017,2017-04-01,2017
Haywood,1556144.26,7803.69,18451.65,1545496.3,april,2017,2017-04-01,2017
Henderson,2768657.0500000003,14600.07,49110.23,2734146.89,april,2017,2017-04-01,2017
Hertford,578044.1399999999,2864.55,2572.2200000000003,578336.47,april,2017,2017-04-01,2017
Hoke,506284.17,2478.85,1634.33,507128.69,april,2017,2017-04-01,2017
Hyde,86235.08,423.96,1225.3,85433.74,april,2017,2017-04-01,2017
Iredell,5194315.21,28345.26,62617.630000000005,5160042.84,april,2017,2017-04-01,2017
Jackson,1032559.54,5293.31,4374.77,1033478.08,april,2017,2017-04-01,2017
Johnston,4078986.75,21878.68,34350.9,4066514.53,april,2017,2017-04-01,2017
Jones,100178.6,487.6,902.66,99763.54,april,2017,2017-04-01,2017
Lee,1785613.66,8324.42,165051.74,1628886.34,april,2017,2017-04-01,2017
Lenoir,1360851.02,6853.280000000001,41887.48,1325816.82,april,2017,2017-04-01,2017
Lincoln,1809798.8000000005,9559.72,14208.86,1805149.66,april,2017,2017-04-01,2017
Macon,991726.15,4562.75,126937.38,869351.52,april,2017,2017-04-01,2017
Madison,250626.75000000003,1195.58,520.35,251301.98,april,2017,2017-04-01,2017
Martin,538081.79,2546.09,32664.02,507963.86,april,2017,2017-04-01,2017
McDowell,839589.33,4259.96,3332.64,840516.65,april,2017,2017-04-01,2017
Mecklenburg,49651120.41,271523.12000000005,1180040.72,48742602.81,april,2017,2017-04-01,2017
Mitchell,311077.50999999995,1350.09,37500.37,274927.23,april,2017,2017-04-01,2017
Montgomery,456610.06,2155.27,2992.09,455773.24,april,2017,2017-04-01,2017
Moore,2827355.18,15040.44,61334.45,2781061.17,april,2017,2017-04-01,2017
Nash,2549716.87,13353.65,26475.04,2536595.48,april,2017,2017-04-01,2017
New Hanover,9684569.49,51192.24,225935.3,9509826.43,april,2017,2017-04-01,2017
Northampton,249882.66,1229.39,10902.24,240209.81,april,2017,2017-04-01,2017
Onslow,4768548.100000001,24473.35,111732.29,4681289.16,april,2017,2017-04-01,2017
Orange,4123057.77,18497.51,487534.01,3654021.27,april,2017,2017-04-01,2017
Pamlico,218701.33,1065.99,5224.38,214542.94,april,2017,2017-04-01,2017
Pasquotank,1104308.4200000002,5777.91,23366.81,1086719.52,april,2017,2017-04-01,2017
Pender,993333.99,5177.92,3452.9300000000003,995058.98,april,2017,2017-04-01,2017
Perquimans,165797.62,801.96,796.62,165802.96,april,2017,2017-04-01,2017
Person,762831.17,3441.88,80323.07,685949.98,april,2017,2017-04-01,2017
Pitt,5482958.600000001,28504.27,112777.34,5398685.53,april,2017,2017-04-01,2017
Polk,301850.17,1513.21,-2246.03,305609.41000000003,april,2017,2017-04-01,2017
Randolph,2910123.9,13443.27,205037.32,2718529.85,april,2017,2017-04-01,2017
Richmond,927646.29,4759.13,6862.01,925543.41,april,2017,2017-04-01,2017
