county,gross_collections,taxable_sales,month,year,date,fiscal_year
Currituck,477081.89,19618100,october,2000,2000-10-01,2001
Dare,2827012.31,90888089,october,2000,2000-10-01,2001
Davidson,2341254.45,112185846,october,2000,2000-10-01,2001
Davie,672158.03,25722050,october,2000,2000-10-01,2001
Duplin,588005.75,27025198,october,2000,2000-10-01,2001
Durham,11775905.43,316357322,october,2000,2000-10-01,2001
Edgecombe,900003.22,36581191,october,2000,2000-10-01,2001
Forsyth,11033174.56,479980921,october,2000,2000-10-01,2001
Franklin,549267.37,22964651,october,2000,2000-10-01,2001
Gaston,3769353.42,203405636,october,2000,2000-10-01,2001
Gates,34340.22,3057715,october,2000,2000-10-01,2001
Graham,90820.91,3933646,october,2000,2000-10-01,2001
Granville,511876.11,29699435,october,2000,2000-10-01,2001
Greene,119632.77,5287522,october,2000,2000-10-01,2001
Guilford,18047335.42,857511367,october,2000,2000-10-01,2001
Halifax,902311.51,38968768,october,2000,2000-10-01,2001
Harnett,1141818.67,47849668,october,2000,2000-10-01,2001
Haywood,1379861.89,54270570,october,2000,2000-10-01,2001
Henderson,2196931.91,91711533,october,2000,2000-10-01,2001
Hertford,551091.55,25183087,october,2000,2000-10-01,2001
Hoke,179602.65,7806674,october,2000,2000-10-01,2001
Hyde,135079.19,4465157,october,2000,2000-10-01,2001
Iredell,3301076.43,153856629,october,2000,2000-10-01,2001
Jackson,831728.26,32700094,october,2000,2000-10-01,2001
Johnston,2385315.56,108725777,october,2000,2000-10-01,2001
Jones,86868.94,3089181,october,2000,2000-10-01,2001
Lee,1467979.62,65091671,october,2000,2000-10-01,2001
Lenoir,1478677.57,61662783,october,2000,2000-10-01,2001
Lincoln,1097486.42,49781870,october,2000,2000-10-01,2001
Macon,1122013.48,40378716,october,2000,2000-10-01,2001
Madison,139485.4,7586157,october,2000,2000-10-01,2001
Martin,500298.6,16353155,october,2000,2000-10-01,2001
McDowell,571315.16,34317911,october,2000,2000-10-01,2001
Mecklenburg,36328715.96,1483245057,october,2000,2000-10-01,2001
Mitchell,376662.82,15596034,october,2000,2000-10-01,2001
Montgomery,406378.89,22582496,october,2000,2000-10-01,2001
Moore,2036455.1,82758262,october,2000,2000-10-01,2001
Nash,2616143.7,120575935,october,2000,2000-10-01,2001
New Hanover,6657033.62,280035335,october,2000,2000-10-01,2001
Northampton,101410.44,5400420,october,2000,2000-10-01,2001
Onslow,2392925.76,86315573,october,2000,2000-10-01,2001
Orange,2530847.11,104546129,october,2000,2000-10-01,2001
Pamlico,123944.51,5966317,october,2000,2000-10-01,2001
Pasquotank,933999.63,40035384,october,2000,2000-10-01,2001
Pender,363026.97,20272783,october,2000,2000-10-01,2001
Perquimans,74787.11,3108845,october,2000,2000-10-01,2001
Person,583806.75,26709467,october,2000,2000-10-01,2001
Pitt,3655353.88,165124689,october,2000,2000-10-01,2001
Polk,200871.37,11013870,october,2000,2000-10-01,2001
Randolph,2133828.23,86907331,october,2000,2000-10-01,2001
Richmond,779915.14,33587267,october,2000,2000-10-01,2001
Robeson,1714971.79,76539564,october,2000,2000-10-01,2001
Rockingham,1377020.18,64323592,october,2000,2000-10-01,2001
Rowan,2400700.9,93719330,october,2000,2000-10-01,2001
Rutherford,1110326.85,46046096,october,2000,2000-10-01,2001
Sampson,821777.23,40262961,october,2000,2000-10-01,2001
Scotland,658361.44,24120269,october,2000,2000-10-01,2001
Stanly,1270070.72,52631878,october,2000,2000-10-01,2001
Stokes,347333.38,15179336,october,2000,2000-10-01,2001
Surry,1897965.84,83733722,october,2000,2000-10-01,2001
Swain,178595.99,11402287,october,2000,2000-10-01,2001
Transylvania,637671.07,25127164,october,2000,2000-10-01,2001
Tyrrell,35380.38,1697205,october,2000,2000-10-01,2001
Union,3032454,138851382,october,2000,2000-10-01,2001
Vance,926592.28,41430463,october,2000,2000-10-01,2001
Wake,27786908.75,1102051289,october,2000,2000-10-01,2001
Warren,133148.97,6894747,october,2000,2000-10-01,2001
Washington,146918.74,7644517,october,2000,2000-10-01,2001
Watauga,1860777.48,67626709,october,2000,2000-10-01,2001
Wayne,2393613.48,92604923,october,2000,2000-10-01,2001
Wilkes,1284889.47,59298195,october,2000,2000-10-01,2001
Wilson,1992967.35,89048023,october,2000,2000-10-01,2001
Yadkin,445822.99,17252507,october,2000,2000-10-01,2001
Yancey,267767.11,9774305,october,2000,2000-10-01,2001
Foreign,48654681.9,2071566971,october,2000,2000-10-01,2001
Alamance,3558367.56,149549459,november,2000,2000-11-01,2001
Alexander,303139.95,16448649,november,2000,2000-11-01,2001
Alleghany,143871.79,5942902,november,2000,2000-11-01,2001
Anson,253415.43,12790789,november,2000,2000-11-01,2001
Ashe,352379.24,14660271,november,2000,2000-11-01,2001
Avery,425669.77,15724497,november,2000,2000-11-01,2001
Beaufort,889212.16,36783213,november,2000,2000-11-01,2001
Bertie,92278.52,5899229,november,2000,2000-11-01,2001
Bladen,358571.77,20477728,november,2000,2000-11-01,2001
Brunswick,1635456.19,59635835,november,2000,2000-11-01,2001
Buncombe,7938509.37,288727776,november,2000,2000-11-01,2001
Burke,1279156.9,63172866,november,2000,2000-11-01,2001
